TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 4.832939625E+000 4.053389549E+000
 -2.955148816E-001 -1.003156006E-001 4.742732048E+000 3.960644960E+000
 -2.901934385E-001 -1.003156006E-001 4.666933537E+000 3.863372326E+000
 -2.848719656E-001 -1.003156006E-001 4.590111256E+000 3.761670828E+000
 -2.795505226E-001 -1.003156006E-001 4.513942719E+000 3.646515131E+000
 -2.742290497E-001 -1.003156006E-001 4.441998005E+000 3.518332243E+000
 -2.689076066E-001 -1.003156006E-001 4.367147446E+000 3.381130934E+000
 -2.635861337E-001 -1.003156006E-001 4.315210819E+000 3.246357918E+000
 -2.582646906E-001 -1.003156006E-001 4.274435520E+000 3.100275993E+000
 -2.529432178E-001 -1.003156006E-001 4.237313271E+000 2.946846247E+000
 -2.476217598E-001 -1.003156006E-001 4.202680588E+000 2.783779144E+000
 -2.423003018E-001 -1.003156006E-001 4.189912319E+000 2.624481678E+000
 -2.369788438E-001 -1.003156006E-001 4.194155216E+000 2.466117620E+000
 -2.316573858E-001 -1.003156006E-001 4.202089787E+000 2.299001455E+000
 -2.263359278E-001 -1.003156006E-001 4.220626354E+000 2.129847527E+000
 -2.210144699E-001 -1.003156006E-001 4.261780262E+000 1.978397846E+000
 -2.156930119E-001 -1.003156006E-001 4.306620121E+000 1.823010564E+000
 -2.103715539E-001 -1.003156006E-001 4.359807491E+000 1.663794041E+000
 -2.050500959E-001 -1.003156006E-001 4.429209709E+000 1.529935837E+000
 -1.997286379E-001 -1.003156006E-001 4.502072334E+000 1.394620180E+000
 -1.944071800E-001 -1.003156006E-001 4.583379269E+000 1.257237077E+000
 -1.890857220E-001 -1.003156006E-001 4.670265198E+000 1.144653797E+000
 -1.837642640E-001 -1.003156006E-001 4.764983177E+000 1.035287380E+000
 -1.784428060E-001 -1.003156006E-001 4.860348701E+000 9.247178435E-001
 -1.731213480E-001 -1.003156006E-001 4.961388588E+000 8.344184160E-001
 -1.677998900E-001 -1.003156006E-001 5.060447693E+000 7.496293783E-001
 -1.624784321E-001 -1.003156006E-001 5.164909840E+000 6.654606462E-001
 -1.571569741E-001 -1.003156006E-001 5.266334057E+000 5.953171849E-001
 -1.518355161E-001 -1.003156006E-001 5.369204521E+000 5.345950127E-001
 -1.465140581E-001 -1.003156006E-001 5.473084927E+000 4.741503000E-001
 -1.411926001E-001 -1.003156006E-001 5.576077938E+000 4.194176197E-001
 -1.358711421E-001 -1.003156006E-001 5.674252510E+000 3.776782155E-001
 -1.305496842E-001 -1.003156006E-001 5.772427082E+000 3.359388113E-001
 -1.252282262E-001 -1.003156006E-001 5.873137951E+000 2.955193222E-001
 -1.199067682E-001 -1.003156006E-001 5.966777325E+000 2.667505443E-001
 -1.145853102E-001 -1.003156006E-001 6.058597565E+000 2.413400859E-001
 -1.092638522E-001 -1.003156006E-001 6.151778221E+000 2.168944031E-001
 -1.039423943E-001 -1.003156006E-001 6.243992805E+000 1.924414784E-001
 -9.862093627E-002 -1.003156006E-001 6.327221394E+000 1.790281683E-001
 -9.329947084E-002 -1.003156006E-001 6.411523342E+000 1.666051149E-001
 -8.797801286E-002 -1.003156006E-001 6.495825291E+000 1.541820616E-001
 -8.265655488E-002 -1.003156006E-001 6.579925537E+000 1.422995776E-001
 -7.733509690E-002 -1.003156006E-001 6.655221462E+000 1.387039125E-001
 -7.201363891E-002 -1.003156006E-001 6.730427742E+000 1.349929869E-001
 -6.669218093E-002 -1.003156006E-001 6.805634499E+000 1.312820762E-001
 -6.137072667E-002 -1.003156006E-001 6.881547928E+000 1.284875870E-001
 -5.604926869E-002 -1.003156006E-001 6.950181484E+000 1.307048202E-001
 -5.072781071E-002 -1.003156006E-001 7.016999722E+000 1.340529770E-001
 -4.540634900E-002 -1.003156006E-001 7.083590508E+000 1.370294690E-001
 -4.008489102E-002 -1.003156006E-001 7.150621891E+000 1.407264024E-001
 -3.476343304E-002 -1.003156006E-001 7.215107441E+000 1.457034796E-001
 -2.944197692E-002 -1.003156006E-001 7.273835182E+000 1.535767913E-001
 -2.412051894E-002 -1.003156006E-001 7.332661629E+000 1.616573781E-001
 -1.879905909E-002 -1.003156006E-001 7.391624928E+000 1.700252593E-001
 -1.347760204E-002 -1.003156006E-001 7.450439930E+000 1.780817211E-001
 -8.156144060E-003 -1.003156006E-001 7.505205154E+000 1.876887083E-001
 -2.834685380E-003 -1.003156006E-001 7.556733608E+000 1.985350549E-001
 2.486772602E-003 -1.003156006E-001 7.608457565E+000 2.099240124E-001
 7.808230817E-003 -1.003156006E-001 7.660185337E+000 2.213219404E-001
 1.312968880E-002 -1.003156006E-001 7.711747646E+000 2.322629690E-001
 1.845114678E-002 -1.003156006E-001 7.759777069E+000 2.442252487E-001
