TITLE     = "fluent16.2.0  build-id: 10212"
VARIABLES = "xx"
"zz"
"uu"
"vv"
DATASETAUXDATA Common.DensityVar="25"
DATASETAUXDATA Common.PressureVar="3"
DATASETAUXDATA Common.TemperatureVar="11"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="28"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="15"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="27"
DATASETAUXDATA Common.VVar="7"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=200, J=200, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.008363545E-001 -1.003156006E-001 7.153431416E+000 2.207207441E+000
 -2.955148816E-001 -1.003156006E-001 7.080904484E+000 2.140491962E+000
 -2.901934385E-001 -1.003156006E-001 7.020532131E+000 2.069207430E+000
 -2.848719656E-001 -1.003156006E-001 6.958918571E+000 1.994401693E+000
 -2.795505226E-001 -1.003156006E-001 6.898638725E+000 1.907958508E+000
 -2.742290497E-001 -1.003156006E-001 6.842880726E+000 1.809803128E+000
 -2.689076066E-001 -1.003156006E-001 6.785024166E+000 1.704194546E+000
 -2.635861337E-001 -1.003156006E-001 6.747373581E+000 1.602893233E+000
 -2.582646906E-001 -1.003156006E-001 6.719526291E+000 1.492031574E+000
 -2.529432178E-001 -1.003156006E-001 6.695638180E+000 1.374680400E+000
 -2.476217598E-001 -1.003156006E-001 6.674523830E+000 1.249913573E+000
 -2.423003018E-001 -1.003156006E-001 6.672161579E+000 1.130959630E+000
 -2.369788438E-001 -1.003156006E-001 6.683313370E+000 1.014154077E+000
 -2.316573858E-001 -1.003156006E-001 6.698381901E+000 8.901764154E-001
 -2.263359278E-001 -1.003156006E-001 6.723089695E+000 7.664362192E-001
 -2.210144699E-001 -1.003156006E-001 6.764183998E+000 6.598613858E-001
 -2.156930119E-001 -1.003156006E-001 6.808770657E+000 5.502475500E-001
 -2.103715539E-001 -1.003156006E-001 6.861022949E+000 4.385686815E-001
 -2.050500959E-001 -1.003156006E-001 6.922708511E+000 3.508237600E-001
 -1.997286379E-001 -1.003156006E-001 6.987486362E+000 2.614909708E-001
 -1.944071800E-001 -1.003156006E-001 7.059208393E+000 1.717737019E-001
 -1.890857220E-001 -1.003156006E-001 7.131536484E+000 1.033199951E-001
 -1.837642640E-001 -1.003156006E-001 7.209784031E+000 3.822512925E-002
 -1.784428060E-001 -1.003156006E-001 7.288532734E+000 -2.756863646E-002
 -1.731213480E-001 -1.003156006E-001 7.368426800E+000 -7.611712813E-002
 -1.677998900E-001 -1.003156006E-001 7.445673943E+000 -1.211623996E-001
 -1.624784321E-001 -1.003156006E-001 7.527121067E+000 -1.647081524E-001
 -1.571569741E-001 -1.003156006E-001 7.603695869E+000 -1.976457685E-001
 -1.518355161E-001 -1.003156006E-001 7.679659367E+000 -2.234185785E-001
 -1.465140581E-001 -1.003156006E-001 7.756457806E+000 -2.487288862E-001
 -1.411926001E-001 -1.003156006E-001 7.831064701E+000 -2.698183954E-001
 -1.358711421E-001 -1.003156006E-001 7.900074959E+000 -2.821744382E-001
 -1.305496842E-001 -1.003156006E-001 7.969085217E+000 -2.945304811E-001
 -1.252282262E-001 -1.003156006E-001 8.039673805E+000 -3.054784536E-001
 -1.199067682E-001 -1.003156006E-001 8.102658272E+000 -3.089822531E-001
 -1.145853102E-001 -1.003156006E-001 8.163749695E+000 -3.105596006E-001
 -1.092638522E-001 -1.003156006E-001 8.225625992E+000 -3.111865520E-001
 -1.039423943E-001 -1.003156006E-001 8.286724091E+000 -3.118241131E-001
 -9.862093627E-002 -1.003156006E-001 8.339139938E+000 -3.063873351E-001
 -9.329947084E-002 -1.003156006E-001 8.392156601E+000 -2.999652028E-001
 -8.797801286E-002 -1.003156006E-001 8.445172310E+000 -2.935430706E-001
 -8.265655488E-002 -1.003156006E-001 8.497752190E+000 -2.867451906E-001
 -7.733509690E-002 -1.003156006E-001 8.542446136E+000 -2.759532034E-001
 -7.201363891E-002 -1.003156006E-001 8.587124825E+000 -2.652017176E-001
 -6.669218093E-002 -1.003156006E-001 8.631803513E+000 -2.544502020E-001
 -6.137072667E-002 -1.003156006E-001 8.676783562E+000 -2.429216951E-001
 -5.604926869E-002 -1.003156006E-001 8.715436935E+000 -2.293598205E-001
 -5.072781071E-002 -1.003156006E-001 8.752673149E+000 -2.154593766E-001
 -4.540634900E-002 -1.003156006E-001 8.789834976E+000 -2.018460631E-001
 -4.008489102E-002 -1.003156006E-001 8.827157974E+000 -1.876116842E-001
 -3.476343304E-002 -1.003156006E-001 8.862291336E+000 -1.730277389E-001
 -2.944197692E-002 -1.003156006E-001 8.892804146E+000 -1.577065587E-001
 -2.412051894E-002 -1.003156006E-001 8.923338890E+000 -1.422189325E-001
 -1.879905909E-002 -1.003156006E-001 8.953899384E+000 -1.265075207E-001
 -1.347760204E-002 -1.003156006E-001 8.984432220E+000 -1.110319421E-001
 -8.156144060E-003 -1.003156006E-001 9.011661530E+000 -9.545060247E-002
 -2.834685380E-003 -1.003156006E-001 9.036407471E+000 -7.978975773E-002
 2.486772602E-003 -1.003156006E-001 9.061152458E+000 -6.369768083E-002
 7.808230817E-003 -1.003156006E-001 9.085896492E+000 -4.760387912E-002
 1.312968880E-002 -1.003156006E-001 9.110642433E+000 -3.186748922E-002
